CURSO,GENERO,TIPO,CAMPUS,GPA,IGS
2010-2011,Masculino,Privada,RUM,3.86,317
2013-2014,Femenino,Publica,RUM,3.94,306
2012-2013,Femenino,Publica,UTUADO,3.45,246
2013-2014,Masculino,Publica,UTUADO,3.06,244
2009-2010,Masculino,Privada,UTUADO,2.9,218
2011-2012,Femenino,Publica,CAROLINA,3.45,289
2009-2010,Femenino,Publica,RIOPIEDRAS,4,315
2010-2011,Masculino,Privada,RIOPIEDRAS,4,332
2013-2014,Masculino,Privada,CAROLINA,2.9,247
2013-2014,Femenino,Privada,RIOPIEDRAS,3.79,329
2010-2011,Femenino,Publica,UTUADO,4,289
2010-2011,Femenino,Publica,BAYAMON,2.69,267
2012-2013,Femenino,Privada,CAYEY,4,366
2012-2013,Masculino,Privada,CAROLINA,2.8,250
2013-2014,Femenino,Publica,HUMACAO,3.81,257
2011-2012,Femenino,Publica,ARECIBO,3.82,301
2010-2011,Femenino,Publica,RIOPIEDRAS,3.25,294
2013-2014,Femenino,Privada,RIOPIEDRAS,3.9,335
2012-2013,Femenino,Publica,PONCE,3.87,281
2012-2013,Masculino,Publica,BAYAMON,4,341
2009-2010,Femenino,Publica,CAROLINA,4,315
2010-2011,Femenino,Publica,RIOPIEDRAS,3.97,359
2012-2013,Masculino,Publica,BAYAMON,4,341
2009-2010,Femenino,Publica,UTUADO,3.57,218
2009-2010,Masculino,Privada,RIOPIEDRAS,3.08,259
2011-2012,Masculino,Privada,UTUADO,3.04,216
2013-2014,Masculino,Publica,ARECIBO,3.28,270
2009-2010,Femenino,Privada,CAROLINA,3.52,275
2013-2014,Femenino,Privada,RIOPIEDRAS,3.73,325
2010-2011,Femenino,Privada,RUM,4,353
2013-2014,Femenino,Publica,BAYAMON,3.33,236
2013-2014,Femenino,Publica,BAYAMON,3.94,281
2009-2010,Masculino,Publica,RUM,4,324
2009-2010,Femenino,Privada,PONCE,3.3,305
2010-2011,Femenino,Privada,RIOPIEDRAS,2.91,285
2009-2010,Masculino,Privada,CAYEY,3.1,265
2010-2011,Masculino,Privada,RIOPIEDRAS,3.92,339
2013-2014,Femenino,Privada,RUM,3.73,323
2010-2011,Femenino,Privada,RUM,2.91,285
2009-2010,Masculino,Publica,RIOPIEDRAS,4,324
2009-2010,Masculino,Privada,CAROLINA,2.7,259
2009-2010,Masculino,Publica,RUM,3.66,265
2010-2011,Femenino,Privada,PONCE,3.1,244
2013-2014,Masculino,Publica,HUMACAO,3.79,317
2012-2013,Masculino,Privada,RUM,3.37,295
2010-2011,Femenino,Privada,BAYAMON,3.52,251
2011-2012,Masculino,Privada,HUMACAO,3.5,274
2010-2011,Masculino,Publica,RUM,3.91,312
2012-2013,Femenino,Publica,CAYEY,3.5,305
2010-2011,Femenino,Publica,CAYEY,3.82,323
2011-2012,Femenino,Privada,CAROLINA,3.06,268
2010-2011,Femenino,Publica,RIOPIEDRAS,3.92,356
2011-2012,Femenino,Publica,PONCE,4,296
2010-2011,Femenino,Publica,ARECIBO,3.18,261
2013-2014,Masculino,Privada,HUMACAO,3.77,281
2012-2013,Femenino,Publica,ARECIBO,3.89,308
2012-2013,Femenino,Privada,RIOPIEDRAS,3.92,337
2012-2013,Masculino,Publica,RUM,4,346
2009-2010,Masculino,Privada,HUMACAO,4,359
2013-2014,Masculino,Privada,HUMACAO,3.77,281
2010-2011,Femenino,Privada,BAYAMON,3.37,269
2013-2014,Femenino,Privada,RIOPIEDRAS,3.69,319
2011-2012,Femenino,Publica,ARECIBO,3.89,307
2009-2010,Femenino,Publica,CAYEY,3.93,318
2010-2011,Masculino,Privada,HUMACAO,4,373
2013-2014,Femenino,Publica,CAYEY,4,284
2010-2011,Masculino,Publica,ARECIBO,3.54,307
2012-2013,Femenino,Privada,RUM,3.73,322
2009-2010,Femenino,Privada,CAROLINA,3.5,313
2013-2014,Femenino,Publica,UTUADO,4,254
2011-2012,Masculino,Publica,BAYAMON,3.79,306
2011-2012,Femenino,Privada,RIOPIEDRAS,3.3,288
2011-2012,Masculino,Privada,RIOPIEDRAS,3.35,218
2011-2012,Masculino,Publica,RIOPIEDRAS,3.33,274
2012-2013,Masculino,Privada,RUM,4,308
2010-2011,Masculino,Publica,RIOPIEDRAS,2.91,226
2013-2014,Femenino,Publica,CAYEY,3.83,261
2009-2010,Masculino,Privada,ARECIBO,3.76,245
2011-2012,Masculino,Publica,RIOPIEDRAS,3.58,279
2010-2011,Femenino,Privada,ARECIBO,3.05,259
2012-2013,Femenino,Publica,CAROLINA,3.93,322
2013-2014,Femenino,Privada,RIOPIEDRAS,4,300
2010-2011,Femenino,Publica,ARECIBO,3.85,338
2009-2010,Femenino,Publica,CAROLINA,3.57,274
2011-2012,Masculino,Publica,BAYAMON,3.33,274
2012-2013,Masculino,Privada,CAROLINA,2.63,276
2013-2014,Masculino,Publica,CAROLINA,3.2,242
2010-2011,Masculino,Publica,CAROLINA,3.35,286
2010-2011,Masculino,Publica,PONCE,4,275
2010-2011,Masculino,Publica,RUM,4,275
2012-2013,Femenino,Privada,BAYAMON,3.65,304
2010-2011,Femenino,Privada,RUM,3.92,349
2011-2012,Femenino,Publica,RUM,4,332
2013-2014,Femenino,Publica,CAYEY,4,323
2009-2010,Masculino,Privada,BAYAMON,2.5,261
2012-2013,Femenino,Privada,RIOPIEDRAS,3.65,304
2010-2011,Femenino,Privada,RIOPIEDRAS,3.78,343
2009-2010,Masculino,Privada,RIOPIEDRAS,3.92,343
2011-2012,Femenino,Publica,CAROLINA,4,298
2013-2014,Femenino,Publica,RIOPIEDRAS,4,338
2011-2012,Femenino,Privada,RIOPIEDRAS,3.13,281
2012-2013,Masculino,Publica,UTUADO,3.23,275
2012-2013,Masculino,Publica,ARECIBO,3.15,244
2012-2013,Masculino,Privada,BAYAMON,3.16,251
2011-2012,Femenino,Publica,AGUADILLA,4,293
2013-2014,Femenino,Publica,BAYAMON,4,314
2011-2012,Femenino,Publica,RIOPIEDRAS,3.66,310
2012-2013,Masculino,Privada,BAYAMON,3.77,325
2010-2011,Masculino,Publica,PONCE,3.68,279
2009-2010,Masculino,Publica,RUM,3.77,342
2009-2010,Masculino,Publica,AGUADILLA,3.43,290
2009-2010,Femenino,Publica,PONCE,4,302
2009-2010,Masculino,Publica,CAYEY,3.17,272
2013-2014,Femenino,Publica,RIOPIEDRAS,3.97,327
2010-2011,Femenino,Publica,UTUADO,3.03,251
2010-2011,Masculino,Privada,CAYEY,3.24,279
2009-2010,Femenino,Privada,RIOPIEDRAS,3.88,354
2011-2012,Femenino,Privada,RIOPIEDRAS,3.88,350
2009-2010,Femenino,Publica,PONCE,3.7,298
2010-2011,Masculino,Privada,RIOPIEDRAS,3.75,324
2009-2010,Masculino,Publica,PONCE,3.17,272
2011-2012,Femenino,Publica,RUM,3.97,310
2009-2010,Femenino,Publica,RIOPIEDRAS,3.7,291
2012-2013,Femenino,Publica,RUM,3.81,297
2011-2012,Femenino,Publica,PONCE,3.74,300
2013-2014,Femenino,Publica,UTUADO,3.33,245
2012-2013,Femenino,Privada,CAYEY,3.79,322
2009-2010,Masculino,Publica,BAYAMON,3.97,322
2012-2013,Masculino,Privada,RUM,3.55,299
2009-2010,Femenino,Privada,HUMACAO,3.52,276
2012-2013,Femenino,Publica,RUM,3.88,307
2013-2014,Masculino,Publica,RIOPIEDRAS,2.9,256
2013-2014,Femenino,Privada,PONCE,3.69,292
2013-2014,Femenino,Privada,RIOPIEDRAS,3.53,282
2009-2010,Masculino,Publica,RUM,3.88,300
2012-2013,Masculino,Privada,RUM,3.84,355
2013-2014,Masculino,Privada,RUM,3.68,343
2010-2011,Femenino,Publica,HUMACAO,4,331
2010-2011,Femenino,Publica,CAYEY,3.82,323
2009-2010,Masculino,Publica,BAYAMON,3.73,317
2009-2010,Femenino,Publica,PONCE,3.71,253
2009-2010,Masculino,Privada,RIOPIEDRAS,3.92,330
2011-2012,Masculino,Privada,RIOPIEDRAS,3.65,304
2010-2011,Femenino,Publica,HUMACAO,4,331
2009-2010,Femenino,Privada,RUM,3.71,288
2010-2011,Femenino,Publica,RIOPIEDRAS,3.82,339
2009-2010,Femenino,Privada,RUM,3.93,330
2012-2013,Masculino,Privada,RIOPIEDRAS,3.88,351
2013-2014,Masculino,Publica,UTUADO,3.14,227
2012-2013,Masculino,Publica,BAYAMON,3.68,313
2013-2014,Femenino,Publica,PONCE,3.89,306
2009-2010,Femenino,Publica,HUMACAO,3.72,266
2011-2012,Femenino,Publica,CAROLINA,3.45,284
2013-2014,Femenino,Privada,RIOPIEDRAS,3.94,337
2009-2010,Masculino,Publica,RUM,3.87,318
2009-2010,Femenino,Privada,RIOPIEDRAS,3.21,296
2013-2014,Femenino,Publica,UTUADO,2.5,230
2010-2011,Femenino,Privada,BAYAMON,3.91,333
2011-2012,Femenino,Privada,RIOPIEDRAS,3.6,302
2010-2011,Femenino,Publica,HUMACAO,3.97,337
2011-2012,Masculino,Publica,UTUADO,1.63,166
2009-2010,Femenino,Privada,RIOPIEDRAS,3.82,333
2010-2011,Femenino,Publica,AGUADILLA,3.67,257
2012-2013,Femenino,Publica,BAYAMON,3.11,251
2010-2011,Masculino,Publica,PONCE,2.97,256
2011-2012,Masculino,Privada,CAROLINA,2.8,263
2009-2010,Femenino,Publica,ARECIBO,4,292
2013-2014,Masculino,Publica,PONCE,2.67,250
2012-2013,Femenino,Publica,RUM,3.9,310
2009-2010,Masculino,Privada,PONCE,3.41,292
2013-2014,Femenino,Publica,AGUADILLA,3.5,241
2013-2014,Femenino,Publica,RIOPIEDRAS,3.86,325
2012-2013,Femenino,Publica,RUM,3.9,310
2010-2011,Femenino,Publica,RIOPIEDRAS,3.83,320
2009-2010,Masculino,Privada,BAYAMON,3.41,292
2013-2014,Femenino,Publica,BAYAMON,3.5,241
2009-2010,Femenino,Privada,CAROLINA,4,338
2013-2014,Femenino,Publica,RIOPIEDRAS,3.86,325
2013-2014,Masculino,Privada,HUMACAO,3.8,306
2010-2011,Masculino,Publica,BAYAMON,3.97,293
2009-2010,Femenino,Publica,RIOPIEDRAS,3.7,304
2010-2011,Masculino,Publica,CAROLINA,3.94,295
2009-2010,Femenino,Privada,RIOPIEDRAS,3.32,304
2011-2012,Femenino,Publica,CAROLINA,3.45,284
2013-2014,Masculino,Privada,RIOPIEDRAS,3.41,313
2013-2014,Femenino,Publica,RUM,3.79,309
2009-2010,Femenino,Privada,RUM,3.05,284
2011-2012,Femenino,Publica,ARECIBO,4,315
2010-2011,Masculino,Privada,RIOPIEDRAS,3.4,240
2013-2014,Femenino,Privada,BAYAMON,3.33,293
2013-2014,Femenino,Publica,AGUADILLA,3.47,280
2013-2014,Masculino,Privada,HUMACAO,3.74,274
2012-2013,Masculino,Privada,RUM,2.85,290
2013-2014,Femenino,Publica,BAYAMON,3.64,293
2009-2010,Masculino,Privada,RUM,3.85,336
2009-2010,Masculino,Privada,RIOPIEDRAS,3.85,336
2013-2014,Femenino,Privada,RIOPIEDRAS,3.65,281
2010-2011,Masculino,Publica,PONCE,3.09,300
2013-2014,Femenino,Privada,RIOPIEDRAS,3.65,281
2013-2014,Femenino,Publica,CAYEY,3.87,310
2009-2010,Masculino,Privada,BAYAMON,3.52,310
2010-2011,Masculino,Publica,ARECIBO,3.97,346
2009-2010,Femenino,Privada,CAROLINA,3.58,261
2010-2011,Femenino,Privada,RUM,2.59,262
2010-2011,Femenino,Publica,CAYEY,4,351
2012-2013,Femenino,Publica,CAROLINA,4,300
2011-2012,Femenino,Privada,RIOPIEDRAS,3.4,308
2010-2011,Masculino,Privada,BAYAMON,2.86,269
2009-2010,Femenino,Privada,RIOPIEDRAS,3.12,250
2009-2010,Femenino,Publica,CAYEY,3.93,328
2013-2014,Femenino,Privada,CAROLINA,3.49,258
2010-2011,Femenino,Privada,HUMACAO,3.45,304
2009-2010,Masculino,Privada,BAYAMON,3.4,283
2013-2014,Femenino,Privada,CAROLINA,3.08,280
2010-2011,Femenino,Privada,PONCE,3.91,330
2010-2011,Femenino,Privada,BAYAMON,3.98,333
2010-2011,Masculino,Publica,BAYAMON,3.26,295
2013-2014,Masculino,Publica,HUMACAO,2.9,271
2013-2014,Femenino,Publica,UTUADO,2.88,228
2012-2013,Femenino,Privada,BAYAMON,3.75,329
2009-2010,Masculino,Publica,BAYAMON,2.87,242
2013-2014,Masculino,Publica,RUM,2.9,271
2013-2014,Femenino,Privada,BAYAMON,4,338
2012-2013,Femenino,Publica,RIOPIEDRAS,3.78,283
2010-2011,Femenino,Publica,PONCE,3.2,277
2009-2010,Femenino,Publica,CAYEY,3.87,304
2010-2011,Masculino,Privada,ARECIBO,3.4,302
2009-2010,Femenino,Privada,PONCE,2.9,254
2013-2014,Femenino,Publica,HUMACAO,3.87,304
2012-2013,Masculino,Publica,CAROLINA,3.95,292
2012-2013,Femenino,Privada,CAROLINA,3.95,292
2011-2012,Femenino,Privada,RIOPIEDRAS,3.58,321
2011-2012,Femenino,Publica,PONCE,3.74,292
2009-2010,Masculino,Publica,UTUADO,2.78,238
2010-2011,Femenino,Privada,RIOPIEDRAS,3.7,317
2009-2010,Femenino,Publica,UTUADO,3.3,237
2013-2014,Femenino,Publica,HUMACAO,3.87,304
2009-2010,Femenino,Publica,HUMACAO,3.71,291
2011-2012,Femenino,Privada,CAYEY,3.52,320
2010-2011,Femenino,Privada,CAYEY,3.77,317
2013-2014,Femenino,Privada,CAROLINA,3.12,271
2013-2014,Femenino,Privada,RIOPIEDRAS,3.77,335
2013-2014,Femenino,Publica,ARECIBO,3.22,254
2012-2013,Femenino,Privada,RIOPIEDRAS,3.75,299
2009-2010,Femenino,Privada,RUM,2.96,286
2010-2011,Femenino,Privada,RUM,3.76,315
2013-2014,Femenino,Publica,HUMACAO,3.87,321
2009-2010,Masculino,Publica,PONCE,3.35,304
2009-2010,Femenino,Publica,RUM,3.53,274
2009-2010,Femenino,Publica,RUM,3.33,273
2013-2014,Femenino,Publica,BAYAMON,3.84,306
2011-2012,Femenino,Publica,CAROLINA,3.16,234
2011-2012,Femenino,Privada,CAROLINA,2.6,217
2013-2014,Femenino,Publica,HUMACAO,3.8,293
2012-2013,Masculino,Privada,RIOPIEDRAS,3.3,306
2013-2014,Masculino,Privada,BAYAMON,3.29,266
2011-2012,Femenino,Publica,HUMACAO,3.8,309
2009-2010,Masculino,Publica,HUMACAO,3.45,261
2013-2014,Femenino,Publica,HUMACAO,3.87,321
2009-2010,Femenino,Publica,RUM,3.53,274
2010-2011,Femenino,Publica,PONCE,3.94,288
2012-2013,Masculino,Privada,BAYAMON,3.6,241
2013-2014,Masculino,Publica,CAYEY,4,368
2011-2012,Masculino,Publica,RUM,3.97,329
2011-2012,Masculino,Privada,BAYAMON,3.28,286
2012-2013,Masculino,Publica,CAYEY,3.53,271
2013-2014,Masculino,Publica,CAROLINA,3.62,288
2012-2013,Femenino,Publica,CAROLINA,3.91,309
2011-2012,Masculino,Privada,BAYAMON,2.85,277
2010-2011,Femenino,Privada,PONCE,3.97,323
2010-2011,Masculino,Publica,ARECIBO,3.8,341
2013-2014,Femenino,Publica,PONCE,3.71,285
2011-2012,Masculino,Privada,RIOPIEDRAS,3.58,356
2011-2012,Femenino,Publica,RIOPIEDRAS,3.97,336
2010-2011,Femenino,Privada,RIOPIEDRAS,3.52,304
2013-2014,Femenino,Publica,CAYEY,3.71,285
2013-2014,Femenino,Privada,RIOPIEDRAS,3.87,299
2013-2014,Femenino,Privada,RIOPIEDRAS,3.63,312
2011-2012,Masculino,Publica,CAYEY,3.79,281
2009-2010,Masculino,Publica,RIOPIEDRAS,3.8,341
2009-2010,Femenino,Estados Unidos,RUM,3.35,269
2012-2013,Masculino,Privada,PONCE,3.89,317
2011-2012,Masculino,Privada,BAYAMON,3.3,296
2012-2013,Masculino,Privada,RUM,2.97,324
2011-2012,Femenino,Publica,RUM,4,367
2010-2011,Femenino,Privada,PONCE,3.54,302
2010-2011,Masculino,Publica,PONCE,4,339
2012-2013,Femenino,Publica,HUMACAO,3.91,331
2012-2013,Femenino,Publica,PONCE,3.85,286
2010-2011,Femenino,Privada,ARECIBO,3.5,253
2009-2010,Femenino,Publica,CAROLINA,3.94,375
2009-2010,Masculino,Privada,ARECIBO,3.69,337
2010-2011,Femenino,Publica,CAYEY,3.94,314
2011-2012,Masculino,Privada,PONCE,3.72,321
2012-2013,Femenino,Publica,CAYEY,4,344
2009-2010,Femenino,Publica,CAROLINA,3.74,275
2009-2010,Masculino,Publica,RIOPIEDRAS,3.6,347
2009-2010,Femenino,Publica,PONCE,3.94,283
2009-2010,Femenino,Privada,HUMACAO,3.31,255
2009-2010,Femenino,Privada,RIOPIEDRAS,3.98,365
2013-2014,Femenino,Publica,RUM,4,352
2012-2013,Femenino,Publica,PONCE,3.3,272
2013-2014,Femenino,Publica,UTUADO,3.03,217
2009-2010,Femenino,Publica,CAROLINA,3.74,275
2011-2012,Femenino,Privada,CAROLINA,4,252
2012-2013,Masculino,Privada,RIOPIEDRAS,3.62,310
2011-2012,Masculino,Publica,BAYAMON,3.86,325
2011-2012,Masculino,Publica,BAYAMON,3.86,325
2011-2012,Femenino,Publica,RUM,4,341
2013-2014,Masculino,Privada,UTUADO,2.62,234
2013-2014,Femenino,Privada,RUM,3.66,317
2013-2014,Femenino,Privada,HUMACAO,2.76,265
2012-2013,Femenino,Publica,ARECIBO,3.25,248
2013-2014,Masculino,Publica,CAROLINA,3.4,284
2012-2013,Femenino,Publica,RUM,4,337
2010-2011,Femenino,Publica,HUMACAO,4,307
2010-2011,Masculino,Publica,BAYAMON,3.65,294
2012-2013,Femenino,Privada,BAYAMON,3.2,310
2013-2014,Masculino,Publica,BAYAMON,4,302
2010-2011,Femenino,Privada,BAYAMON,2.95,255
2011-2012,Masculino,Privada,BAYAMON,3.6,325
2013-2014,Femenino,Privada,HUMACAO,2.76,265
2012-2013,Femenino,Privada,BAYAMON,3.2,310
2013-2014,Femenino,Privada,BAYAMON,3.66,317
2010-2011,Femenino,Publica,CAROLINA,4,333
2010-2011,Masculino,Publica,AGUADILLA,3.63,257
2011-2012,Femenino,Privada,RIOPIEDRAS,3.8,325
2013-2014,Femenino,Publica,CAROLINA,3.62,260
2011-2012,Masculino,Privada,RUM,3,304
2012-2013,Femenino,Privada,CAROLINA,3.38,264
2013-2014,Masculino,Publica,RUM,3.66,315
2011-2012,Masculino,Privada,RIOPIEDRAS,3.51,242
2010-2011,Masculino,Publica,CAYEY,4,345
2010-2011,Masculino,Publica,RUM,2.86,268
2012-2013,Femenino,Privada,CAROLINA,3.08,217
2010-2011,Femenino,Publica,RUM,4,317
2012-2013,Masculino,Publica,BAYAMON,3.53,286
2010-2011,Femenino,Privada,RUM,3.93,331
2011-2012,Femenino,Privada,RUM,3.72,304
2009-2010,Masculino,Privada,PONCE,3.65,310
2009-2010,Masculino,Privada,PONCE,3.26,297
2013-2014,Femenino,Publica,ARECIBO,3.65,292
2010-2011,Femenino,Privada,HUMACAO,3.24,253
2011-2012,Masculino,Privada,CAROLINA,,286
2013-2014,Masculino,Privada,RUM,4,307
2010-2011,Femenino,Privada,UTUADO,3.06,246
2012-2013,Masculino,Publica,BAYAMON,3.53,286
2009-2010,Masculino,Privada,RUM,3.53,314
2013-2014,Femenino,Publica,HUMACAO,3.5,290
2012-2013,Masculino,Publica,UTUADO,2.88,196
2013-2014,Femenino,Publica,RIOPIEDRAS,3.5,290
2011-2012,Masculino,Privada,CAROLINA,2.77,248
2012-2013,Masculino,Privada,RUM,3.99,366
2009-2010,Masculino,Privada,RIOPIEDRAS,3.84,312
2010-2011,Masculino,Privada,RUM,3.58,318
2012-2013,Masculino,Privada,BAYAMON,3.96,366
2011-2012,Femenino,Publica,CAROLINA,3.75,330
2013-2014,Masculino,Privada,BAYAMON,3.21,254
2009-2010,Femenino,Publica,BAYAMON,3.71,296
2009-2010,Femenino,Publica,CAYEY,2.57,271
2009-2010,Femenino,Privada,CAROLINA,3.53,266
2010-2011,Femenino,Publica,HUMACAO,3.5,296
2011-2012,Femenino,Publica,RUM,3.26,271
2012-2013,Masculino,Privada,RIOPIEDRAS,4,342
2010-2011,Femenino,Publica,AGUADILLA,3.72,319
2013-2014,Masculino,Privada,CAROLINA,3.52,269
2009-2010,Masculino,Publica,HUMACAO,3.34,271
2009-2010,Masculino,Privada,RUM,3.85,335
2009-2010,Femenino,Publica,AGUADILLA,3.45,300
2011-2012,Femenino,Privada,RIOPIEDRAS,3.95,329
2011-2012,Masculino,Privada,AGUADILLA,3,255
2012-2013,Femenino,Publica,BAYAMON,3.16,265
2013-2014,Femenino,Privada,RIOPIEDRAS,3.41,304
2011-2012,Femenino,Publica,CAROLINA,4,337
2010-2011,Femenino,Publica,HUMACAO,3.83,294
2013-2014,Masculino,Publica,PONCE,3.06,252
2009-2010,Femenino,Privada,RIOPIEDRAS,3.53,339
2011-2012,Masculino,Publica,UTUADO,3.06,208
2012-2013,Masculino,Publica,HUMACAO,3.68,306
2012-2013,Masculino,Publica,HUMACAO,3.68,306
2010-2011,Masculino,Privada,RIOPIEDRAS,3.25,309
2011-2012,Masculino,Privada,CAROLINA,3,255
2009-2010,Femenino,Publica,HUMACAO,4,368
2009-2010,Femenino,Publica,BAYAMON,2.58,232
2012-2013,Femenino,Publica,HUMACAO,4,337
2009-2010,Masculino,Privada,RUM,3.22,311
2009-2010,Femenino,Publica,UTUADO,2.44,230
2013-2014,Masculino,Publica,UTUADO,3.05,240
2013-2014,Masculino,Privada,BAYAMON,4,314
2012-2013,Femenino,Privada,BAYAMON,3.3,240
2010-2011,Masculino,Publica,CAYEY,3.65,316
2010-2011,Masculino,Privada,RUM,3.72,333
2012-2013,Femenino,Publica,RUM,3.36,284
2010-2011,Femenino,Publica,RUM,3.23,286
2009-2010,Masculino,Publica,RUM,3.51,287
2010-2011,Femenino,Publica,PONCE,3.3,265
2012-2013,Masculino,Privada,BAYAMON,3.45,333
2009-2010,Masculino,Privada,UTUADO,2.83,205
2013-2014,Femenino,Publica,CAROLINA,3.37,295
2009-2010,Femenino,Publica,CAROLINA,3.47,280
2012-2013,Femenino,Privada,BAYAMON,4,336
2011-2012,Masculino,Privada,CAROLINA,3.93,248
2012-2013,Masculino,Privada,RIOPIEDRAS,3.45,333
2013-2014,Femenino,Privada,RIOPIEDRAS,4,378
2009-2010,Masculino,Privada,RIOPIEDRAS,3.29,279
2010-2011,Femenino,Privada,CAYEY,2.98,259
2010-2011,Masculino,Privada,RIOPIEDRAS,3.81,346
2012-2013,Masculino,Privada,CAYEY,3.9,350
2009-2010,Masculino,Publica,HUMACAO,3.59,314
2010-2011,Femenino,Privada,HUMACAO,3.59,286
2009-2010,Femenino,Publica,RUM,4,348
2013-2014,Femenino,Publica,CAROLINA,3,246
2012-2013,Femenino,Publica,UTUADO,3.76,276
2009-2010,Femenino,Publica,RIOPIEDRAS,3.85,317
2009-2010,Femenino,Publica,HUMACAO,4,352
2009-2010,Masculino,Privada,CAROLINA,3.58,293
2009-2010,Masculino,Publica,UTUADO,2.21,215
2012-2013,Femenino,Publica,HUMACAO,3.84,312
2009-2010,Masculino,Publica,HUMACAO,3.59,314
2013-2014,Masculino,Privada,CAYEY,3.86,358
2013-2014,Femenino,Privada,RIOPIEDRAS,4,307
2009-2010,Femenino,Privada,HUMACAO,4,335
2011-2012,Masculino,Privada,CAROLINA,3.75,304
2010-2011,Masculino,Privada,RUM,3.61,329
2013-2014,Femenino,Publica,CAROLINA,3.89,292
2012-2013,Femenino,Publica,BAYAMON,3.15,274
2009-2010,Masculino,Publica,RIOPIEDRAS,3.18,310
2012-2013,Masculino,Privada,RUM,3.99,370
2012-2013,Femenino,Privada,RIOPIEDRAS,2.92,209
2009-2010,Femenino,Privada,CAROLINA,4,331
2009-2010,Masculino,Publica,RUM,3.07,256
2012-2013,Femenino,Privada,RIOPIEDRAS,2.63,190
2009-2010,Femenino,Publica,CAROLINA,3.77,262
2013-2014,Femenino,Publica,PONCE,3.81,290
2012-2013,Masculino,Publica,RUM,3.92,327
2013-2014,Femenino,Publica,CAROLINA,3.53,269
2012-2013,Masculino,Publica,AGUADILLA,3,251
2010-2011,Femenino,Publica,UTUADO,2.76,237
2012-2013,Femenino,Estados Unidos,BAYAMON,3.5,310
2009-2010,Femenino,Publica,PONCE,4,328
2009-2010,Femenino,Publica,RUM,3.88,350
2012-2013,Masculino,Privada,RIOPIEDRAS,3.55,315
2012-2013,Femenino,Privada,UTUADO,2.92,209
2013-2014,Femenino,Publica,CAROLINA,3.81,290
2010-2011,Masculino,Publica,BAYAMON,3.66,317
2012-2013,Masculino,Publica,CAYEY,3.75,298
2009-2010,Femenino,Publica,HUMACAO,3.39,293
2009-2010,Masculino,Publica,BAYAMON,3.07,256
2011-2012,Masculino,Publica,RIOPIEDRAS,3.55,283
2009-2010,Femenino,Publica,CAYEY,4,305
2009-2010,Femenino,Estados Unidos,HUMACAO,3.72,323
2011-2012,Femenino,Publica,CAYEY,3.94,310
2013-2014,Masculino,Publica,RUM,3.1,265
2011-2012,Femenino,Publica,CAYEY,3.69,285
2011-2012,Femenino,Privada,RUM,3.6,310
2012-2013,Masculino,Publica,RUM,3.48,308
2010-2011,Masculino,Privada,RIOPIEDRAS,3.37,322
2009-2010,Femenino,Publica,ARECIBO,2.7,281
2012-2013,Masculino,Publica,RUM,3.97,345
2009-2010,Masculino,Privada,PONCE,3.78,341
2013-2014,Femenino,Privada,ARECIBO,4,267
2013-2014,Femenino,Publica,CAROLINA,3.38,271
2009-2010,Masculino,Publica,UTUADO,2.91,235
2010-2011,Masculino,Privada,CAYEY,3.82,306
2010-2011,Femenino,Publica,HUMACAO,3.33,299
2012-2013,Masculino,Publica,HUMACAO,3.91,304
2009-2010,Masculino,Publica,ARECIBO,2.09,240
2010-2011,Masculino,Privada,RUM,3.57,356
2009-2010,Femenino,Publica,RIOPIEDRAS,3.67,319
2011-2012,Masculino,Publica,BAYAMON,3.12,276
2009-2010,Femenino,Privada,BAYAMON,3.61,259
2013-2014,Femenino,Publica,HUMACAO,4,327
2012-2013,Masculino,Privada,CAYEY,3.44,248
2012-2013,Femenino,Publica,UTUADO,3.91,265
2013-2014,Masculino,Estados Unidos,RUM,2.53,263
2012-2013,Femenino,Publica,CAYEY,4,310
2011-2012,Femenino,Privada,RUM,3.43,280
2010-2011,Masculino,Privada,CAROLINA,3.85,278
2009-2010,Masculino,Privada,CAROLINA,3.5,284
2013-2014,Masculino,Publica,BAYAMON,3.03,263
2010-2011,Femenino,Privada,AGUADILLA,2.98,264
2011-2012,Femenino,Publica,PONCE,3.67,296
2013-2014,Femenino,Publica,HUMACAO,3.93,298
2012-2013,Femenino,Publica,ARECIBO,3.44,272
2010-2011,Masculino,Publica,UTUADO,3.12,238
2012-2013,Masculino,Publica,CAYEY,3.84,302
2009-2010,Femenino,Publica,CAYEY,3.83,319
2009-2010,Femenino,Privada,RIOPIEDRAS,3.3,279
2012-2013,Femenino,Privada,CAROLINA,3.67,277
2010-2011,Masculino,Foranea,RIOPIEDRAS,3.97,279
2010-2011,Femenino,Privada,RUM,3.97,350
2009-2010,Masculino,Privada,UTUADO,2.25,236
2011-2012,Femenino,Privada,RUM,3.98,336
2010-2011,Masculino,Privada,AGUADILLA,4,304
2010-2011,Femenino,Publica,CAROLINA,4,275
2011-2012,Femenino,Publica,CAROLINA,3.31,284
2012-2013,Femenino,Privada,HUMACAO,3.97,341
2011-2012,Femenino,Publica,HUMACAO,3.71,273
2012-2013,Femenino,Publica,PONCE,3.8,337
2011-2012,Femenino,Publica,HUMACAO,3.85,307
2013-2014,Femenino,Privada,RIOPIEDRAS,3.63,340
2011-2012,Femenino,Publica,RUM,3.88,298
2012-2013,Masculino,Publica,HUMACAO,3.57,309
